wind_code,20140130,20140228,20140331,20140430,20140530,20140630,20140731,20140829,20140930,20141031,20141128,20141231,20150130,20150227,20150331,20150430,20150529,20150630,20150731,20150831,20150930,20151030,20151130,20151231,20160129,20160229,20160331,20160429,20160531,20160630,20160729,20160831,20160930,20161031,20161130,20161230,20170126,20170228,20170331,20170428,20170531,20170630,20170731,20170831,20170929,20171031,20171130,20171229,20180131,20180228,20180330,20180427,20180531,20180629,20180731,20180831,20180928,20181031,20181130,20181228,20190131,20190228,20190329,20190430,20190531,20190628,20190731,20190830,20190930,20191031,20191129,20191231,20200123,20200228,20200331,20200430,20200529,20200630,20200731,20200831,20200930,20201030,20201130,20201231,20210129,20210226,20210331,20210430,20210531,20210630,20210730,20210831,20210930,20211029,20211130,20211231,20220128,20220228,20220331,20220429,20220531,20220630,20220729,20220831,20220930,20221031,20221130,20221230,20230131,20230228,20230331,20230428,20230531,20230630,20230731
000001.SZ,5.86,5.86,5.72,5.22,5.22,9.12,9.12,8.57,8.57,7.92,7.92,7.92,7.92,7.92,7.69,17.23,17.23,9.76,9.76,9.33,9.33,9.1,9.1,9.1,9.1,9.1,9.09,,,9.81,9.81,9.7,9.7,9.58,9.58,9.58,9.58,9.58,9.69,9.63,9.63,,11.94,11.87,11.87,11.78,11.78,11.78,11.78,11.78,11.7,11.51,11.51,11.51,9.91,9.73,9.73,9.53,9.53,9.53,9.41,9.41,9.41,9.1,9.1,18.8,9.7,9.27,9.27,8.9,8.9,8.9,8.83,8.83,8.83,8.5,22.94,14.44,14.44,15.98,15.98,15.69,15.69,15.68,15.68,14.62,14.62,13.86,11.45,11.45,11.45,10.64,10.64,9.79,9.79,9.79,9.61,9.61,10.43,9.65,,,12.22,11.65,11.65,10.79,10.79,10.79,9.72,9.72,9.72,9.36,9.36,21.06,11.7
000002.SZ,14.53,14.53,13.1,13.18,30.04,30.04,30.04,29.38,29.38,29.29,29.29,29.29,29.29,29.28,28.67,30.37,,,37.16,35.0,35.0,34.22,34.22,34.22,34.22,34.22,30.49,30.18,30.18,30.18,43.43,42.68,42.68,40.7,40.7,40.7,40.7,40.7,37.81,38.06,38.06,38.06,,37.96,37.96,36.56,36.56,36.56,36.56,36.56,31.09,30.87,30.87,30.87,30.87,33.26,33.26,32.11,32.11,32.11,32.11,32.11,29.42,29.92,29.92,29.92,29.92,32.37,32.37,31.06,31.06,31.06,31.06,31.06,30.39,30.29,30.29,31.13,31.13,29.87,29.87,29.17,29.17,29.17,29.17,29.17,28.45,28.42,28.42,28.42,28.42,36.28,36.28,37.9,37.9,37.9,37.9,37.9,64.52,64.13,64.13,64.13,64.13,47.54,47.54,49.24,49.24,49.24,49.24,49.24,51.1,51.1,51.07,51.07,51.07
000004.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000005.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000006.SZ,18.31,18.31,18.47,19.33,19.33,31.46,31.46,44.05,44.05,36.3,36.3,36.3,41.59,41.59,41.59,30.82,30.82,23.46,23.46,22.22,22.22,29.22,29.22,29.22,37.38,37.37,38.22,60.35,60.35,61.38,61.38,62.13,62.13,63.68,63.68,63.67,63.68,63.67,20.81,19.43,19.43,29.15,29.15,26.24,26.24,24.22,24.22,24.22,30.89,30.89,30.16,24.6,24.6,24.73,24.73,25.14,25.14,25.2,25.2,25.2,27.6,27.6,27.6,34.96,34.96,37.67,37.67,39.78,39.78,31.99,31.99,31.99,32.64,32.64,32.64,32.17,32.17,29.53,29.53,29.64,29.64,28.11,28.11,28.11,27.97,27.97,27.95,24.02,24.02,25.9,25.9,25.17,25.17,28.44,28.44,28.44,28.44,28.44,28.44,82.26,82.26,51.57,51.57,43.4,43.4,90.37,90.37,90.37,90.37,90.37,90.37,38.93,44.99,34.95,34.95
000007.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.41,5.41,5.24,5.25,6.58,6.58,6.58,6.58,6.58,6.58,3.21,3.21,16.11,16.11,16.02,16.02,16.1,16.1,16.1,16.1,16.1,16.1,43.19,43.19,8.47,8.47,8.37,8.37,7.89,7.89,7.9,7.9,7.89,7.9,8.79,17.42,8.64,8.64,35.67,35.66,35.66,61.42,61.43,61.42,61.43,61.43,-3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
000009.SZ,7.93,7.93,7.93,9.59,9.59,9.59,11.02,7.66,7.66,15.53,15.52,15.53,15.52,15.52,15.52,13.21,13.21,13.21,,16.62,16.62,16.61,4.41,4.41,4.41,4.41,4.41,4.17,4.17,4.17,18.77,15.0,15.0,34.88,34.88,34.88,34.88,34.88,34.88,47.08,47.08,47.08,,17.84,17.84,21.12,21.13,21.12,21.13,21.12,21.12,21.12,31.85,31.85,63.7,25.58,25.58,83.74,83.74,83.73,83.74,83.74,83.75,17.57,17.57,17.57,17.57,17.57,18.14,13.61,13.61,13.61,13.61,13.61,13.61,15.62,15.62,15.61,,17.29,17.29,8.29,8.29,8.29,8.29,8.29,7.79,6.35,6.35,6.36,6.36,6.41,6.41,7.49,7.49,7.49,7.49,7.49,7.47,7.66,7.66,7.66,7.66,11.6,11.6,12.56,12.56,12.56,12.57,12.56,12.56,7.8,7.33,7.34,7.33
000010.SZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
